question_id,question,reference_answer,key_points,domain/category,evaluation_criteria
DE0001,"What specific data observability metrics, SLA monitors, and alerting rules should a data platform team establish for Data Lakehouse Architecture: Medallion Architecture, specifically tracking monitoring data lakehouse architecture: medallion architecture data pipeline health, latency, and data quality metrics?","Observability for Data Lakehouse Architecture: Medallion Architecture should be grounded in the pillars of data health: freshness, volume, distribution, schema, and lineage. The platform team should instrument automated monitors tracking monitoring data lakehouse architecture: medallion architecture data pipeline health, latency, and data quality metrics, establish alerting rules on SLA breaches and volume anomalies, and integrate real-time alerts into incident management platforms.",data lakehouse architecture: medallion architecture|data engineering|distributed systems|data quality|pipeline scalability|data observability pillars|SLA freshness monitoring|volume anomaly detection|data health alerting,Data Engineering,"Evaluates candidate's data observability maturity in designing metric collection, data quality checks, and alerting for Data Lakehouse Architecture: Medallion Architecture."
DE0002,"What are the primary operational, latency, and scalability trade-offs between Kafka Consumer Lag Monitoring via Burrow and Prometheus and relying on end-user complaints to find out that a real-time ingestion pipeline has fallen hours behind, and when would you choose one over the other?","When evaluating Kafka Consumer Lag Monitoring via Burrow and Prometheus against relying on end-user complaints to find out that a real-time ingestion pipeline has fallen hours behind, the key trade-offs involve computational complexity, write amplification, query latency, and operational overhead. Kafka Consumer Lag Monitoring via Burrow and Prometheus provides superior scalability and data integrity at scale, whereas relying on end-user complaints to find out that a real-time ingestion pipeline has fallen hours behind may offer simpler initial implementation but fails to scale efficiently.",kafka consumer lag monitoring via burrow and prometheus|data engineering|distributed systems|data quality|pipeline scalability|operational trade-offs|alternative approach comparison|scalability limits|decision criteria,Data Engineering,Evaluates candidate's ability to critically analyze trade-offs between Kafka Consumer Lag Monitoring via Burrow and Prometheus and alternative technical approaches.
DE0003,"What specific data observability metrics, SLA monitors, and alerting rules should a data platform team establish for Data Quality Gatekeeping: Soda Core and Great Expectations, specifically tracking monitoring data quality gatekeeping: soda core and great expectations data pipeline health, latency, and data quality metrics?","Observability for Data Quality Gatekeeping: Soda Core and Great Expectations should be grounded in the pillars of data health: freshness, volume, distribution, schema, and lineage. The platform team should instrument automated monitors tracking monitoring data quality gatekeeping: soda core and great expectations data pipeline health, latency, and data quality metrics, establish alerting rules on SLA breaches and volume anomalies, and integrate real-time alerts into incident management platforms.",data quality gatekeeping: soda core and great expectations|data engineering|distributed systems|data quality|pipeline scalability|data observability pillars|SLA freshness monitoring|volume anomaly detection|data health alerting,Data Engineering,"Evaluates candidate's data observability maturity in designing metric collection, data quality checks, and alerting for Data Quality Gatekeeping: Soda Core and Great Expectations."
DE0004,"How do you optimize Kafka Tiered Storage Architecture for high throughput, minimal compute cost, and low query latency, specifically addressing tuning execution parameters and distributed configurations for kafka tiered storage architecture?","Optimizing Kafka Tiered Storage Architecture requires tuning underlying partitioning, memory allocation, and concurrency parameters to address tuning execution parameters and distributed configurations for kafka tiered storage architecture. By analyzing execution plans, eliminating redundant shuffles, and optimizing file layouts, data teams achieve sub-second query responsiveness while minimizing cloud computing costs.",kafka tiered storage architecture|data engineering|distributed systems|data quality|pipeline scalability|throughput optimization|compute cost reduction|query latency minimization|partition and memory tuning,Data Engineering,Evaluates candidate's performance engineering depth and resource optimization strategies for Kafka Tiered Storage Architecture.
DE0005,"What are the critical data security, governance, and compliance considerations associated with Apache Arrow Flight SQL for High-Performance Data Transfer, and how do you achieve implementing Arrow Flight endpoints for high-throughput data transfer?","Securing Apache Arrow Flight SQL for High-Performance Data Transfer requires robust governance: enforce granular role-based and column-level access controls, implement encryption in transit and at rest, maintain immutable audit logs, and establish continuous data classification scanning to successfully achieve implementing Arrow Flight endpoints for high-throughput data transfer.",apache arrow flight sql for high-performance data transfer|data engineering|distributed systems|data quality|pipeline scalability|data governance|column-level access control|encryption standards|compliance auditing,Data Engineering,"Evaluates candidate's data governance rigor, privacy compliance depth, and security engineering capabilities for Apache Arrow Flight SQL for High-Performance Data Transfer."
DE0006,"Why is implementing flink event time vs processing time vs ingestion time without proper operational testing or validation considered a dangerous anti-pattern in scalable data engineering pipelines, and what is the industry best-practice alternative?","The practice of implementing flink event time vs processing time vs ingestion time without proper operational testing or validation introduces severe data corruption risks, pipeline bottlenecks, and silent failures that degrade downstream analytics and machine learning models. The industry best practice is to enforce idempotent data processing, automated data contracts, and declarative schema validation.",flink event time vs processing time vs ingestion time|data engineering|distributed systems|data quality|pipeline scalability|data engineering anti-pattern|silent corruption risk|idempotent processing|declarative validation best practices,Data Engineering,Evaluates candidate's ability to identify dangerous data engineering anti-patterns and enforce robust data pipeline standards.
DE0007,"What are the critical data security, governance, and compliance considerations associated with Columnar Encoding: Run-Length, Dictionary, Bit-Packing, and how do you achieve maximizing compression ratios in Parquet and ORC files?","Securing Columnar Encoding: Run-Length, Dictionary, Bit-Packing requires robust governance: enforce granular role-based and column-level access controls, implement encryption in transit and at rest, maintain immutable audit logs, and establish continuous data classification scanning to successfully achieve maximizing compression ratios in Parquet and ORC files.","columnar encoding: run-length, dictionary, bit-packing|data engineering|distributed systems|data quality|pipeline scalability|data governance|column-level access control|encryption standards|compliance auditing",Data Engineering,"Evaluates candidate's data governance rigor, privacy compliance depth, and security engineering capabilities for Columnar Encoding: Run-Length, Dictionary, Bit-Packing."
DE0008,"What are the critical data security, governance, and compliance considerations associated with ClickHouse Columnar Database Architecture, and how do you achieve designing optimal primary keys and partition layouts in ClickHouse?","Securing ClickHouse Columnar Database Architecture requires robust governance: enforce granular role-based and column-level access controls, implement encryption in transit and at rest, maintain immutable audit logs, and establish continuous data classification scanning to successfully achieve designing optimal primary keys and partition layouts in ClickHouse.",clickhouse columnar database architecture|data engineering|distributed systems|data quality|pipeline scalability|data governance|column-level access control|encryption standards|compliance auditing,Data Engineering,"Evaluates candidate's data governance rigor, privacy compliance depth, and security engineering capabilities for ClickHouse Columnar Database Architecture."
DE0009,"When architecting an enterprise-grade data platform standardizing on BigQuery BI Engine In-Memory Acceleration, how do you address scaling and governing bigquery bi engine in-memory acceleration across enterprise multi-cloud data platforms across multi-cloud and multi-tenant environments?","At enterprise scale, deploying BigQuery BI Engine In-Memory Acceleration requires robust architectural governance to solve scaling and governing bigquery bi engine in-memory acceleration across enterprise multi-cloud data platforms. This involves designing decentralized domain ownership, enforcing centralized metadata and access control catalogs, establishing automated cross-region replication, and implementing FinOps cost attribution across business units.",bigquery bi engine in-memory acceleration|data engineering|distributed systems|data quality|pipeline scalability|enterprise data platform|multi-tenant data architecture|cross-region replication|FinOps cost governance,Data Engineering,"Evaluates candidate's senior architectural judgment, enterprise scalability vision, and governance design for BigQuery BI Engine In-Memory Acceleration."
DE0010,"What are the critical data security, governance, and compliance considerations associated with Data Quality Validation with Great Expectations Expectation Suites, and how do you achieve automating Expectation Suite validation gates in CI/CD and orchestration pipelines?","Securing Data Quality Validation with Great Expectations Expectation Suites requires robust governance: enforce granular role-based and column-level access controls, implement encryption in transit and at rest, maintain immutable audit logs, and establish continuous data classification scanning to successfully achieve automating Expectation Suite validation gates in CI/CD and orchestration pipelines.",data quality validation with great expectations expectation suites|data engineering|distributed systems|data quality|pipeline scalability|data governance|column-level access control|encryption standards|compliance auditing,Data Engineering,"Evaluates candidate's data governance rigor, privacy compliance depth, and security engineering capabilities for Data Quality Validation with Great Expectations Expectation Suites."
DE0011,"What are the primary operational, latency, and scalability trade-offs between Distributed Deadlocks in Parallel Warehouse Ingestion and running concurrent ingestion pipelines that update overlapping sets of tables in conflicting orders, and when would you choose one over the other?","When evaluating Distributed Deadlocks in Parallel Warehouse Ingestion against running concurrent ingestion pipelines that update overlapping sets of tables in conflicting orders, the key trade-offs involve computational complexity, write amplification, query latency, and operational overhead. Distributed Deadlocks in Parallel Warehouse Ingestion provides superior scalability and data integrity at scale, whereas running concurrent ingestion pipelines that update overlapping sets of tables in conflicting orders may offer simpler initial implementation but fails to scale efficiently.",distributed deadlocks in parallel warehouse ingestion|data engineering|distributed systems|data quality|pipeline scalability|operational trade-offs|alternative approach comparison|scalability limits|decision criteria,Data Engineering,Evaluates candidate's ability to critically analyze trade-offs between Distributed Deadlocks in Parallel Warehouse Ingestion and alternative technical approaches.
DE0012,"How does Spark Bucketing for Join Optimization work under the hood in modern data engineering platforms, and what core architectural challenge does it solve?","Spark Bucketing for Join Optimization operates by pre-sorting and partitioning data files on disk by a specific hash key to eliminate runtime shuffles during joins. In production data architectures, this mechanism provides reliable data consistency, predictable distributed throughput, and automated governance, directly solving the limitations of legacy approaches.",spark bucketing for join optimization|data engineering|distributed systems|data quality|pipeline scalability|under the hood mechanics|data architecture challenge|distributed consistency,Data Engineering,Evaluates candidate's foundational architectural understanding of Spark Bucketing for Join Optimization and how it functions under the hood.
DE0013,"What specific data observability metrics, SLA monitors, and alerting rules should a data platform team establish for Schema Registry Compatibility Modes: BACKWARD vs FORWARD vs FULL, specifically tracking monitoring schema registry compatibility modes: backward vs forward vs full data pipeline health, latency, and data quality metrics?","Observability for Schema Registry Compatibility Modes: BACKWARD vs FORWARD vs FULL should be grounded in the pillars of data health: freshness, volume, distribution, schema, and lineage. The platform team should instrument automated monitors tracking monitoring schema registry compatibility modes: backward vs forward vs full data pipeline health, latency, and data quality metrics, establish alerting rules on SLA breaches and volume anomalies, and integrate real-time alerts into incident management platforms.",schema registry compatibility modes: backward vs forward vs full|data engineering|distributed systems|data quality|pipeline scalability|data observability pillars|SLA freshness monitoring|volume anomaly detection|data health alerting,Data Engineering,"Evaluates candidate's data observability maturity in designing metric collection, data quality checks, and alerting for Schema Registry Compatibility Modes: BACKWARD vs FORWARD vs FULL."
DE0014,"What are the critical data security, governance, and compliance considerations associated with dbt Source Freshness and Pipeline SLA Monitoring, and how do you achieve configuring dbt source freshness tests with warn_after and error_after criteria?","Securing dbt Source Freshness and Pipeline SLA Monitoring requires robust governance: enforce granular role-based and column-level access controls, implement encryption in transit and at rest, maintain immutable audit logs, and establish continuous data classification scanning to successfully achieve configuring dbt source freshness tests with warn_after and error_after criteria.",dbt source freshness and pipeline sla monitoring|data engineering|distributed systems|data quality|pipeline scalability|data governance|column-level access control|encryption standards|compliance auditing,Data Engineering,"Evaluates candidate's data governance rigor, privacy compliance depth, and security engineering capabilities for dbt Source Freshness and Pipeline SLA Monitoring."
DE0015,"Why is implementing query optimization: explain plan cost analysis and predicate pushdown without proper operational testing or validation considered a dangerous anti-pattern in scalable data engineering pipelines, and what is the industry best-practice alternative?","The practice of implementing query optimization: explain plan cost analysis and predicate pushdown without proper operational testing or validation introduces severe data corruption risks, pipeline bottlenecks, and silent failures that degrade downstream analytics and machine learning models. The industry best practice is to enforce idempotent data processing, automated data contracts, and declarative schema validation.",query optimization: explain plan cost analysis and predicate pushdown|data engineering|distributed systems|data quality|pipeline scalability|data engineering anti-pattern|silent corruption risk|idempotent processing|declarative validation best practices,Data Engineering,Evaluates candidate's ability to identify dangerous data engineering anti-patterns and enforce robust data pipeline standards.
DE0016,"What specific data observability metrics, SLA monitors, and alerting rules should a data platform team establish for Flink Broadcast State Pattern, specifically tracking monitoring flink broadcast state pattern data pipeline health, latency, and data quality metrics?","Observability for Flink Broadcast State Pattern should be grounded in the pillars of data health: freshness, volume, distribution, schema, and lineage. The platform team should instrument automated monitors tracking monitoring flink broadcast state pattern data pipeline health, latency, and data quality metrics, establish alerting rules on SLA breaches and volume anomalies, and integrate real-time alerts into incident management platforms.",flink broadcast state pattern|data engineering|distributed systems|data quality|pipeline scalability|data observability pillars|SLA freshness monitoring|volume anomaly detection|data health alerting,Data Engineering,"Evaluates candidate's data observability maturity in designing metric collection, data quality checks, and alerting for Flink Broadcast State Pattern."
DE0017,"In a production data pipeline incident where queries accidentally scanning the full dataset because analysts forgot to supply the partition column in WHERE clauses, what systematic steps would you take to diagnose, isolate, and resolve the root cause?","To resolve an incident involving queries accidentally scanning the full dataset because analysts forgot to supply the partition column in WHERE clauses, execute a structured diagnostic runbook: first, inspect pipeline execution logs, stage metrics, and data lineage to isolate the failure point; second, verify data volume skew, resource saturation, and upstream schema changes; third, apply a verified backfill, schema patch, or cluster tuning to recover data processing; finally, implement automated data quality gates and update runbooks.",hidden partitioning in apache iceberg|data engineering|distributed systems|data quality|pipeline scalability|incident triage runbook|root cause isolation|pipeline recovery|data backfill and quality gates,Data Engineering,Evaluates candidate's practical troubleshooting methodology and incident management execution during production data failures.
DE0018,"What are the primary operational, latency, and scalability trade-offs between Lakehouse Partition Pruning: Static vs Dynamic Pruning and reading all physical partitions off object storage regardless of query filters, and when would you choose one over the other?","When evaluating Lakehouse Partition Pruning: Static vs Dynamic Pruning against reading all physical partitions off object storage regardless of query filters, the key trade-offs involve computational complexity, write amplification, query latency, and operational overhead. Lakehouse Partition Pruning: Static vs Dynamic Pruning provides superior scalability and data integrity at scale, whereas reading all physical partitions off object storage regardless of query filters may offer simpler initial implementation but fails to scale efficiently.",lakehouse partition pruning: static vs dynamic pruning|data engineering|distributed systems|data quality|pipeline scalability|operational trade-offs|alternative approach comparison|scalability limits|decision criteria,Data Engineering,Evaluates candidate's ability to critically analyze trade-offs between Lakehouse Partition Pruning: Static vs Dynamic Pruning and alternative technical approaches.
DE0019,"Why is implementing etl vs elt paradigm shift in cloud data warehousing without proper operational testing or validation considered a dangerous anti-pattern in scalable data engineering pipelines, and what is the industry best-practice alternative?","The practice of implementing etl vs elt paradigm shift in cloud data warehousing without proper operational testing or validation introduces severe data corruption risks, pipeline bottlenecks, and silent failures that degrade downstream analytics and machine learning models. The industry best practice is to enforce idempotent data processing, automated data contracts, and declarative schema validation.",etl vs elt paradigm shift in cloud data warehousing|data engineering|distributed systems|data quality|pipeline scalability|data engineering anti-pattern|silent corruption risk|idempotent processing|declarative validation best practices,Data Engineering,Evaluates candidate's ability to identify dangerous data engineering anti-patterns and enforce robust data pipeline standards.
