question_id,question,reference_answer,key_points,domain/category,evaluation_criteria
AIML0001,How does mathematical concept #55 in linear algebra or calculus influence algorithmic stability in AI models?,"Mathematical concept #55 governs matrix conditioning, gradient propagation, and numerical precision. In deep networks, preserving full-rank transformations and avoiding near-zero singular values prevents vanishing gradients and floating-point underflow during backpropagation.",matrix conditioning|gradient propagation|numerical precision|singular values|backpropagation stability,AI/ML,Evaluates candidate's ability to connect mathematical foundations with model training stability and numerical precision.
AIML0002,Under what real-world constraints would you choose machine learning algorithm #47 over deep neural networks?,"Algorithm #47 is selected when tabular dataset size is small to medium, interpretability is legally required, training compute is constrained, or latency budgets mandate microsecond inference times on standard CPUs.",tabular efficiency|interpretability requirements|CPU inference latency|small-to-medium dataset|compute efficiency,AI/ML,Evaluates candidate's pragmatic algorithm selection skills and trade-off analysis between classical ML and deep learning.
AIML0003,How does core machine learning concept #64 govern the trade-off between model expressiveness and generalization?,"Concept #64 balances the model's hypothesis space with regularization and sample complexity. In practical workflows, tuning this balance ensures the algorithm captures true underlying data manifolds without fitting idiosyncratic training noise.",hypothesis space|sample complexity|regularization balance|data manifold|generalization bounds,AI/ML,Evaluates candidate's understanding of machine learning principles and generalization theory.
AIML0004,How does NLP pipeline component #67 ensure robust language representations across multilingual or noisy user text?,"Component #67 applies subword token normalization, Unicode cleanup, and cross-lingual pre-trained embeddings. By projecting diverse orthographic variants into shared semantic vector spaces, it maintains downstream classification accuracy across informal dialects.",multilingual normalization|Unicode cleanup|subword representation|shared semantic space|dialect robustness,AI/ML,Evaluates candidate's practical NLP engineering skills and language normalization pipelines.
AIML0005,What is the difference between Mean Absolute Error (MAE) and Root Mean Squared Error (RMSE) in regression?,"MAE calculates the average magnitude of absolute errors, treating all residuals linearly and providing robust evaluation against extreme outliers. RMSE squares errors before averaging and taking the root, heavily penalizing large individual prediction errors. RMSE should be used when large errors are disproportionately costly to the business.",linear residual penalty|squared error penalty|outlier sensitivity|large error penalization|MAE vs RMSE,AI/ML,Evaluates candidate's regression metric selection based on business loss tolerance.
AIML0006,How does sequence modeling technique #20 handle variable-length inputs and temporal dependencies in production audio or time-series?,"Technique #20 utilizes dynamic padding, masking, or stateful streaming buffers. By discarding padded loss contributions and propagating latent state representations across chunks, it ensures stable sequence predictions on real-time streaming streams.",padding and masking|streaming buffers|state persistence|variable-length sequences|temporal stability,AI/ML,Evaluates candidate's ability to deploy sequence models in production streaming environments.
AIML0007,How does generative decoding technique #56 balance creative fluency with factual grounding in enterprise applications?,"Technique #56 utilizes contrastive decoding, speculative verification, or entropy-bounded sampling. By penalizing amateur token distributions and verifying factual claims against external knowledge bases, it eliminates repetitive loops and hallucinated statements.",contrastive decoding|factual grounding|speculative verification|entropy bounds|hallucination elimination,AI/ML,Evaluates candidate's mastery of enterprise generative AI decoding and grounding strategies.
AIML0008,How would you troubleshoot RAG failure mode #60 where the system retrieves relevant documents but the LLM generates an inaccurate answer?,"Failure mode #60 indicates context distraction, conflicting information across chunks, or inadequate prompt constraints. Mitigate by reranking to prune irrelevant chunks, applying contextual compression to isolate key sentences, and structuring prompts to strictly penalize external speculation.",context distraction|conflicting documents|contextual compression|reranking pruning|strict grounding instructions,AI/ML,Evaluates candidate's systematic approach to diagnosing and resolving RAG pipeline failures.
AIML0009,How does computer vision design principle #17 address spatial resolution loss and feature preservation across deep networks?,"Design principle #17 utilizes dilated convolutions, skip connections, or multi-scale attention heads. By retaining high-frequency spatial details alongside deep semantic abstractions, the architecture prevents fine-grained boundary degradation during object segmentation.",spatial resolution preservation|dilated convolution|multi-scale fusion|boundary sharpness|receptive field expansion,AI/ML,Evaluates candidate's architectural reasoning in computer vision models.
AIML0010,How does prompt engineering technique #55 enforce deterministic output formatting across diverse model revisions?,"Technique #55 establishes strict negative constraints, pydantic schema definitions, and few-shot boundary examples. In production pipelines, prompt versioning and unit testing suites ensure formatting invariants are preserved across model updates.",negative constraints|pydantic schemas|few-shot exemplars|prompt versioning|output determinism,AI/ML,"Evaluates candidate's ability to engineer robust, version-controlled prompts."
