question_id,question,reference_answer,key_points,domain/category,evaluation_criteria
DEV0001,"How does Docker Container Healthchecks work under the hood in production DevOps environments, and what core architectural problem does it solve?","Docker Container Healthchecks operates by defining internal HEALTHCHECK instructions allowing Docker and container orchestrators to monitor application status. In production environments, this architectural mechanism provides robust reliability, predictable operational behavior, and automated consistency, directly eliminating the fragility of legacy approaches.",docker container healthchecks|production engineering|reliability|system performance|operational excellence|under the hood mechanics|architectural problem solving|production reliability,DevOps,Evaluates candidate's foundational architectural understanding of Docker Container Healthchecks and how it functions under the hood.
DEV0002,"Why is implementing opentelemetry collector architecture without proper operational testing or validation considered a dangerous operational anti-pattern in modern DevOps workflows, and what is the industry best-practice alternative?","The practice of implementing opentelemetry collector architecture without proper operational testing or validation introduces severe operational fragility, configuration drift, and hidden dependencies that frequently cause cascading outages or security breaches. The industry best practice is to enforce immutable infrastructure, declarative configuration validation, and automated peer-reviewed deployment pipelines.",opentelemetry collector architecture|production engineering|reliability|system performance|operational excellence|operational anti-pattern|configuration drift hazard|cascading failure prevention|immutable infrastructure best practices,DevOps,Evaluates candidate's ability to identify dangerous anti-patterns and enforce robust DevOps standards.
DEV0003,"When designing an enterprise-grade platform standardizing on Terraform Architecture for Multi-Account AWS Enclaves, how do you address scaling and governing terraform architecture for multi-account aws enclaves across multi-tenant enterprise infrastructure across multi-region and multi-tenant environments?","At enterprise scale, deploying Terraform Architecture for Multi-Account AWS Enclaves requires robust architectural governance to solve scaling and governing terraform architecture for multi-account aws enclaves across multi-tenant enterprise infrastructure. This involves designing multi-region redundancy, enforcing strict tenant isolation boundaries, establishing automated disaster recovery failover procedures, and implementing continuous compliance auditing.",terraform architecture for multi-account aws enclaves|production engineering|reliability|system performance|operational excellence|enterprise architecture|multi-region redundancy|multi-tenant isolation|disaster recovery governance,DevOps,"Evaluates candidate's senior architectural judgment, enterprise scalability vision, and governance design for Terraform Architecture for Multi-Account AWS Enclaves."
DEV0004,"In a production incident where alert fatigue caused by setting alarms on volatile un-averaged CPU spikes, what systematic steps would you take to diagnose, isolate, and resolve the root cause?","To resolve an incident involving alert fatigue caused by setting alarms on volatile un-averaged CPU spikes, execute a structured diagnostic runbook: first, inspect real-time telemetry, logs, and error metrics to isolate the blast radius; second, verify configuration states, network connectivity, and resource saturation; third, apply a verified hotfix or rollback to stabilize production; finally, implement preventative monitors and update post-mortem documentation.",aws cloudwatch metrics and alarms|production engineering|reliability|system performance|operational excellence|incident triage runbook|root cause isolation|production recovery|post-mortem prevention,DevOps,Evaluates candidate's practical troubleshooting methodology and incident management execution during production failures.
DEV0005,"What are the primary operational trade-offs between Kubernetes Startup Probes and inflating liveness probe initialDelaySeconds, and in what scenario would you choose one over the other?","When comparing Kubernetes Startup Probes against inflating liveness probe initialDelaySeconds, the key trade-offs revolve around operational complexity, maintenance overhead, latency, and failure domain boundaries. Kubernetes Startup Probes provides superior automation and consistency, whereas inflating liveness probe initialDelaySeconds may offer simpler initial implementation but suffers from operational scaling limitations.",kubernetes startup probes|production engineering|reliability|system performance|operational excellence|operational trade-offs|alternative comparison|scalability limits|decision criteria,DevOps,Evaluates candidate's ability to critically analyze trade-offs between Kubernetes Startup Probes and alternative technical approaches.
DEV0006,"What specific SLIs, Prometheus metrics, and alerting rules should an SRE team implement to effectively observe Load Balancer Graceful Draining and Deregistration, specifically tracking monitoring load balancer graceful draining and deregistration health metrics, error rates, and saturation?","Observability for Load Balancer Graceful Draining and Deregistration should be grounded in the Four Golden Signals. The SRE team should instrument metrics tracking monitoring load balancer graceful draining and deregistration health metrics, error rates, and saturation, establish alerting rules on error budget burn rates, and create hierarchical Grafana dashboards to identify early signs of service degradation before user SLAs are breached.",load balancer graceful draining and deregistration|production engineering|reliability|system performance|operational excellence|Four Golden Signals|Prometheus alerting rules|SLI/SLO tracking|error budget burn rates,DevOps,"Evaluates candidate's SRE maturity in designing observability, metric collection, and alerting for Load Balancer Graceful Draining and Deregistration."
DEV0007,"What are the critical security risks and threat vectors associated with Monorepo Sparse Checkout, and how do you achieve sparse profile access governance?","Securing Monorepo Sparse Checkout requires a defense-in-depth posture: enforce least privilege access controls, isolate credentials from runtime environments, implement cryptographic verification where applicable, and continuously audit configuration against CIS benchmarks to successfully achieve sparse profile access governance.",monorepo sparse checkout|production engineering|reliability|system performance|operational excellence|threat vectors|defense-in-depth|least privilege access|CIS benchmark compliance,DevOps,Evaluates candidate's security engineering rigor and hardening capabilities for Monorepo Sparse Checkout.
DEV0008,"When designing an enterprise-grade platform standardizing on OpenTelemetry Tracing in Asynchronous Event Streams, how do you address scaling and governing opentelemetry tracing in asynchronous event streams across multi-tenant enterprise infrastructure across multi-region and multi-tenant environments?","At enterprise scale, deploying OpenTelemetry Tracing in Asynchronous Event Streams requires robust architectural governance to solve scaling and governing opentelemetry tracing in asynchronous event streams across multi-tenant enterprise infrastructure. This involves designing multi-region redundancy, enforcing strict tenant isolation boundaries, establishing automated disaster recovery failover procedures, and implementing continuous compliance auditing.",opentelemetry tracing in asynchronous event streams|production engineering|reliability|system performance|operational excellence|enterprise architecture|multi-region redundancy|multi-tenant isolation|disaster recovery governance,DevOps,"Evaluates candidate's senior architectural judgment, enterprise scalability vision, and governance design for OpenTelemetry Tracing in Asynchronous Event Streams."
DEV0009,"What are the primary operational trade-offs between Git Cherry-Pick Mechanics and full branch merges pulling unintended features, and in what scenario would you choose one over the other?","When comparing Git Cherry-Pick Mechanics against full branch merges pulling unintended features, the key trade-offs revolve around operational complexity, maintenance overhead, latency, and failure domain boundaries. Git Cherry-Pick Mechanics provides superior automation and consistency, whereas full branch merges pulling unintended features may offer simpler initial implementation but suffers from operational scaling limitations.",git cherry-pick mechanics|production engineering|reliability|system performance|operational excellence|operational trade-offs|alternative comparison|scalability limits|decision criteria,DevOps,Evaluates candidate's ability to critically analyze trade-offs between Git Cherry-Pick Mechanics and alternative technical approaches.
DEV0010,"How do you optimize Least Privilege IAM Policy Engineering for high throughput, minimal latency, and resource efficiency, specifically addressing tuning resource allocations and configuration parameters for least privilege iam policy engineering?","Optimizing Least Privilege IAM Policy Engineering requires systematic tuning of underlying resource allocations, caching layers, and concurrency parameters to address tuning resource allocations and configuration parameters for least privilege iam policy engineering. By profiling bottlenecks and eliminating unneeded overhead, teams achieve predictable low-latency performance while maximizing compute utilization.",least privilege iam policy engineering|production engineering|reliability|system performance|operational excellence|throughput optimization|latency reduction|resource utilization|concurrency tuning,DevOps,Evaluates candidate's performance engineering depth and resource optimization strategies for Least Privilege IAM Policy Engineering.
