question_id,question,reference_answer,key_points,domain/category,evaluation_criteria
SE0001,Explain how control flow construct variation 31 impacts cyclomatic complexity and code maintainability.,"Cyclomatic complexity measures the number of linearly independent paths through a program's source code. Deeply nested branching, switch statements, and loop conditions increase complexity, making code harder to read, test, and debug. Refactoring into guard clauses, polymorphism, or smaller modular functions reduces complexity and improves test coverage.",cyclomatic complexity|independent execution paths|guard clauses|code maintainability|unit test coverage,Software Engineering,"Evaluates candidate's understanding of cyclomatic complexity, control flow refactoring, and maintainable software construction."
SE0002,How would you refactor an OOP design smell involving scenario pattern 47 to improve modularity and testability?,"To resolve OOP design smell pattern 47, decompose the monolithic class into cohesive domain components adhering to the Single Responsibility Principle. Extract interfaces for external dependencies, replace inheritance chains with composition, and inject dependencies via constructors to enable mocking during automated unit testing.",code smell refactoring|single responsibility|composition over inheritance|interface extraction|dependency injection,Software Engineering,"Evaluates candidate's ability to identify OOP anti-patterns, apply SOLID principles, and refactor code for testability."
SE0003,What is implicit type coercion and why can it lead to unpredictable behavior?,"Implicit type coercion is the automatic conversion of values from one data type to another by the compiler or interpreter. In weakly typed languages, coercing strings to numbers or booleans in loose equality checks can lead to silent logical errors.",automatic type conversion|weak typing|loose equality|type safety|logical bugs,Software Engineering,"Evaluates candidate's understanding of programming fundamentals, specifically regarding 'What is implicit type coercion and why can it lead to unpred...', practical mechanics, edge cases, and trade-offs."
SE0004,How would you diagnose and optimize SQL query pattern 61 causing high CPU and slow execution times?,"Run EXPLAIN ANALYZE to inspect the query execution plan. Check whether a sequential table scan is occurring due to missing indexes, un-indexed foreign keys, or non-sargable WHERE clauses (like applying functions to indexed columns). Add targeted composite indexes, update table statistics, or rewrite subqueries into CTEs or indexed JOINs.",EXPLAIN ANALYZE|sequential scan|sargable query|composite index|table statistics,Software Engineering,"Evaluates candidate's ability to interpret database execution plans, identify query bottlenecks, and apply indexing optimizations."
SE0005,How would you optimize an algorithmic pipeline implementing problem pattern 41 to reduce asymptotic time complexity?,"To optimize problem pattern 41, analyze redundant computations and identify overlapping subproblems. Replace brute-force nested loops with two-pointer techniques, hash map lookups, or dynamic programming tabulation. If searching over sorted spaces, employ binary search to bring complexity down from O(n^2) to O(n log n) or O(n).",time complexity reduction|asymptotic analysis|two-pointer technique|dynamic programming|hash lookup optimization,Software Engineering,"Evaluates candidate's proficiency in asymptotic analysis, algorithm optimization, and choosing efficient algorithmic strategies."
SE0006,How would you refactor an OOP design smell involving scenario pattern 46 to improve modularity and testability?,"To resolve OOP design smell pattern 46, decompose the monolithic class into cohesive domain components adhering to the Single Responsibility Principle. Extract interfaces for external dependencies, replace inheritance chains with composition, and inject dependencies via constructors to enable mocking during automated unit testing.",code smell refactoring|single responsibility|composition over inheritance|interface extraction|dependency injection,Software Engineering,"Evaluates candidate's ability to identify OOP anti-patterns, apply SOLID principles, and refactor code for testability."
SE0007,How does the OS scheduler handle thread starvation in CPU scheduling policy 45?,Thread starvation happens when low-priority threads are perpetually preempted by high-priority tasks. Modern schedulers (like Linux CFS or multi-level feedback queues) prevent starvation using aging mechanisms where a thread's effective priority or virtual runtime increases the longer it waits in the runqueue.,thread starvation|scheduling priority|aging mechanism|completely fair scheduler|virtual runtime,Software Engineering,"Evaluates candidate's understanding of CPU scheduling algorithms, fairness, starvation prevention, and thread management."
SE0008,How would you refactor an OOP design smell involving scenario pattern 7 to improve modularity and testability?,"To resolve OOP design smell pattern 7, decompose the monolithic class into cohesive domain components adhering to the Single Responsibility Principle. Extract interfaces for external dependencies, replace inheritance chains with composition, and inject dependencies via constructors to enable mocking during automated unit testing.",code smell refactoring|single responsibility|composition over inheritance|interface extraction|dependency injection,Software Engineering,"Evaluates candidate's ability to identify OOP anti-patterns, apply SOLID principles, and refactor code for testability."
SE0009,How would you troubleshoot network latency spikes occurring in scenario 51 between microservices?,"Check round-trip time (RTT) and packet loss using traceroute, ping, and tcpdump. Inspect connection pooling settings to ensure sockets are reused and not constantly executing TCP/TLS handshakes. Verify whether DNS lookups are cached locally or saturating upstream resolvers, and check for MTU fragmentation or TCP window saturation.",tcpdump packet analysis|RTT measurement|connection reuse|DNS cache TTL|TCP window sizing,Software Engineering,"Evaluates candidate's systematic approach to diagnosing networking latency, packet loss, socket reuse, and protocol debugging."
SE0010,How would you optimize an algorithmic pipeline implementing problem pattern 3 to reduce asymptotic time complexity?,"To optimize problem pattern 3, analyze redundant computations and identify overlapping subproblems. Replace brute-force nested loops with two-pointer techniques, hash map lookups, or dynamic programming tabulation. If searching over sorted spaces, employ binary search to bring complexity down from O(n^2) to O(n log n) or O(n).",time complexity reduction|asymptotic analysis|two-pointer technique|dynamic programming|hash lookup optimization,Software Engineering,"Evaluates candidate's proficiency in asymptotic analysis, algorithm optimization, and choosing efficient algorithmic strategies."
