question_id,question,reference_answer,key_points,domain/category,evaluation_criteria
BE0001,"In relational database internals (postgresql, mysql), how would a backend engineer diagnose and resolve production failure scenario 16 under heavy traffic?","To resolve failure scenario 16 in relational database internals (postgresql, mysql), inspect database lock contention and connection pool metrics, introduce asynchronous queues or Redis caching to absorb traffic spikes, verify query execution plans with EXPLAIN ANALYZE, and ensure idempotent retries with exponential backoff.","relational database internals (postgresql, mysql)|production failure|database connection pool|asynchronous queue|idempotent retry",Backend Development,"Evaluates candidate's backend troubleshooting and architectural resilience in relational database internals (postgresql, mysql), focusing on concurrency, database scaling, and distributed system recovery."
BE0002,"In authentication, authorization, and session management, how would a backend engineer diagnose and resolve production failure scenario 35 under heavy traffic?","To resolve failure scenario 35 in authentication, authorization, and session management, inspect database lock contention and connection pool metrics, introduce asynchronous queues or Redis caching to absorb traffic spikes, verify query execution plans with EXPLAIN ANALYZE, and ensure idempotent retries with exponential backoff.","authentication, authorization, and session management|production failure|database connection pool|asynchronous queue|idempotent retry",Backend Development,"Evaluates candidate's backend troubleshooting and architectural resilience in authentication, authorization, and session management, focusing on concurrency, database scaling, and distributed system recovery."
BE0003,"In redis: caching strategies, patterns, and stampede mitigation, how would a backend engineer diagnose and resolve production failure scenario 108 under heavy traffic?","To resolve failure scenario 108 in redis: caching strategies, patterns, and stampede mitigation, inspect database lock contention and connection pool metrics, introduce asynchronous queues or Redis caching to absorb traffic spikes, verify query execution plans with EXPLAIN ANALYZE, and ensure idempotent retries with exponential backoff.","redis: caching strategies, patterns, and stampede mitigation|production failure|database connection pool|asynchronous queue|idempotent retry",Backend Development,"Evaluates candidate's backend troubleshooting and architectural resilience in redis: caching strategies, patterns, and stampede mitigation, focusing on concurrency, database scaling, and distributed system recovery."
BE0004,"In observability: distributed tracing, metrics, and structured logging, how would a backend engineer diagnose and resolve production failure scenario 59 under heavy traffic?","To resolve failure scenario 59 in observability: distributed tracing, metrics, and structured logging, inspect database lock contention and connection pool metrics, introduce asynchronous queues or Redis caching to absorb traffic spikes, verify query execution plans with EXPLAIN ANALYZE, and ensure idempotent retries with exponential backoff.","observability: distributed tracing, metrics, and structured logging|production failure|database connection pool|asynchronous queue|idempotent retry",Backend Development,"Evaluates candidate's backend troubleshooting and architectural resilience in observability: distributed tracing, metrics, and structured logging, focusing on concurrency, database scaling, and distributed system recovery."
BE0005,"In distributed locks and consensus mechanisms, how would a backend engineer diagnose and resolve production failure scenario 58 under heavy traffic?","To resolve failure scenario 58 in distributed locks and consensus mechanisms, inspect database lock contention and connection pool metrics, introduce asynchronous queues or Redis caching to absorb traffic spikes, verify query execution plans with EXPLAIN ANALYZE, and ensure idempotent retries with exponential backoff.",distributed locks and consensus mechanisms|production failure|database connection pool|asynchronous queue|idempotent retry,Backend Development,"Evaluates candidate's backend troubleshooting and architectural resilience in distributed locks and consensus mechanisms, focusing on concurrency, database scaling, and distributed system recovery."
BE0006,"In backend fundamentals and server architecture, how would a backend engineer diagnose and resolve production failure scenario 53 under heavy traffic?","To resolve failure scenario 53 in backend fundamentals and server architecture, inspect database lock contention and connection pool metrics, introduce asynchronous queues or Redis caching to absorb traffic spikes, verify query execution plans with EXPLAIN ANALYZE, and ensure idempotent retries with exponential backoff.",backend fundamentals and server architecture|production failure|database connection pool|asynchronous queue|idempotent retry,Backend Development,"Evaluates candidate's backend troubleshooting and architectural resilience in backend fundamentals and server architecture, focusing on concurrency, database scaling, and distributed system recovery."
BE0007,"In authentication, authorization, and session management, how would a backend engineer diagnose and resolve production failure scenario 59 under heavy traffic?","To resolve failure scenario 59 in authentication, authorization, and session management, inspect database lock contention and connection pool metrics, introduce asynchronous queues or Redis caching to absorb traffic spikes, verify query execution plans with EXPLAIN ANALYZE, and ensure idempotent retries with exponential backoff.","authentication, authorization, and session management|production failure|database connection pool|asynchronous queue|idempotent retry",Backend Development,"Evaluates candidate's backend troubleshooting and architectural resilience in authentication, authorization, and session management, focusing on concurrency, database scaling, and distributed system recovery."
BE0008,"In distributed locks and consensus mechanisms, how would a backend engineer diagnose and resolve production failure scenario 34 under heavy traffic?","To resolve failure scenario 34 in distributed locks and consensus mechanisms, inspect database lock contention and connection pool metrics, introduce asynchronous queues or Redis caching to absorb traffic spikes, verify query execution plans with EXPLAIN ANALYZE, and ensure idempotent retries with exponential backoff.",distributed locks and consensus mechanisms|production failure|database connection pool|asynchronous queue|idempotent retry,Backend Development,"Evaluates candidate's backend troubleshooting and architectural resilience in distributed locks and consensus mechanisms, focusing on concurrency, database scaling, and distributed system recovery."
BE0009,"In production debugging, profiling, and performance tuning, how would a backend engineer diagnose and resolve production failure scenario 45 under heavy traffic?","To resolve failure scenario 45 in production debugging, profiling, and performance tuning, inspect database lock contention and connection pool metrics, introduce asynchronous queues or Redis caching to absorb traffic spikes, verify query execution plans with EXPLAIN ANALYZE, and ensure idempotent retries with exponential backoff.","production debugging, profiling, and performance tuning|production failure|database connection pool|asynchronous queue|idempotent retry",Backend Development,"Evaluates candidate's backend troubleshooting and architectural resilience in production debugging, profiling, and performance tuning, focusing on concurrency, database scaling, and distributed system recovery."
BE0010,"In redis: caching strategies, patterns, and stampede mitigation, how would a backend engineer diagnose and resolve production failure scenario 2 under heavy traffic?","To resolve failure scenario 2 in redis: caching strategies, patterns, and stampede mitigation, inspect database lock contention and connection pool metrics, introduce asynchronous queues or Redis caching to absorb traffic spikes, verify query execution plans with EXPLAIN ANALYZE, and ensure idempotent retries with exponential backoff.","redis: caching strategies, patterns, and stampede mitigation|production failure|database connection pool|asynchronous queue|idempotent retry",Backend Development,"Evaluates candidate's backend troubleshooting and architectural resilience in redis: caching strategies, patterns, and stampede mitigation, focusing on concurrency, database scaling, and distributed system recovery."
