question_id,question,reference_answer,key_points,domain/category,evaluation_criteria
CC0001,"In cloud security: encryption, key management (kms), and secrets, how would a cloud architect design an enterprise architecture addressing production challenge 66 for maximum fault tolerance?","To resolve challenge 66 in cloud security: encryption, key management (kms), and secrets, deploy across multiple Availability Zones with automated health checks and auto-scaling, implement least-privilege IAM policies and KMS envelope encryption, establish automated Terraform IaC pipelines, and configure continuous monitoring with automated failover alarms.","cloud security: encryption, key management (kms), and secrets|multi-AZ deployment|least privilege IAM|Terraform IaC|automated failover",Cloud Computing,"Evaluates candidate's cloud architecture competence in cloud security: encryption, key management (kms), and secrets, focusing on resilient infrastructure design, security compliance, and operational reliability."
CC0002,"In compute: virtual machines, serverless, and auto-scaling, how would a cloud architect design an enterprise architecture addressing production challenge 48 for maximum fault tolerance?","To resolve challenge 48 in compute: virtual machines, serverless, and auto-scaling, deploy across multiple Availability Zones with automated health checks and auto-scaling, implement least-privilege IAM policies and KMS envelope encryption, establish automated Terraform IaC pipelines, and configure continuous monitoring with automated failover alarms.","compute: virtual machines, serverless, and auto-scaling|multi-AZ deployment|least privilege IAM|Terraform IaC|automated failover",Cloud Computing,"Evaluates candidate's cloud architecture competence in compute: virtual machines, serverless, and auto-scaling, focusing on resilient infrastructure design, security compliance, and operational reliability."
CC0003,"In cloud regions, availability zones, and global infrastructure, how would a cloud architect design an enterprise architecture addressing production challenge 57 for maximum fault tolerance?","To resolve challenge 57 in cloud regions, availability zones, and global infrastructure, deploy across multiple Availability Zones with automated health checks and auto-scaling, implement least-privilege IAM policies and KMS envelope encryption, establish automated Terraform IaC pipelines, and configure continuous monitoring with automated failover alarms.","cloud regions, availability zones, and global infrastructure|multi-AZ deployment|least privilege IAM|Terraform IaC|automated failover",Cloud Computing,"Evaluates candidate's cloud architecture competence in cloud regions, availability zones, and global infrastructure, focusing on resilient infrastructure design, security compliance, and operational reliability."
CC0004,"In managed cloud databases: relational (rds, aurora) and nosql (dynamodb), how would a cloud architect design an enterprise architecture addressing production challenge 99 for maximum fault tolerance?","To resolve challenge 99 in managed cloud databases: relational (rds, aurora) and nosql (dynamodb), deploy across multiple Availability Zones with automated health checks and auto-scaling, implement least-privilege IAM policies and KMS envelope encryption, establish automated Terraform IaC pipelines, and configure continuous monitoring with automated failover alarms.","managed cloud databases: relational (rds, aurora) and nosql (dynamodb)|multi-AZ deployment|least privilege IAM|Terraform IaC|automated failover",Cloud Computing,"Evaluates candidate's cloud architecture competence in managed cloud databases: relational (rds, aurora) and nosql (dynamodb), focusing on resilient infrastructure design, security compliance, and operational reliability."
CC0005,"In identity and access management (iam): roles, policies, and federation, how would a cloud architect design an enterprise architecture addressing production challenge 52 for maximum fault tolerance?","To resolve challenge 52 in identity and access management (iam): roles, policies, and federation, deploy across multiple Availability Zones with automated health checks and auto-scaling, implement least-privilege IAM policies and KMS envelope encryption, establish automated Terraform IaC pipelines, and configure continuous monitoring with automated failover alarms.","identity and access management (iam): roles, policies, and federation|multi-AZ deployment|least privilege IAM|Terraform IaC|automated failover",Cloud Computing,"Evaluates candidate's cloud architecture competence in identity and access management (iam): roles, policies, and federation, focusing on resilient infrastructure design, security compliance, and operational reliability."
CC0006,"In caching in the cloud: in-memory datastores and cdns, how would a cloud architect design an enterprise architecture addressing production challenge 88 for maximum fault tolerance?","To resolve challenge 88 in caching in the cloud: in-memory datastores and cdns, deploy across multiple Availability Zones with automated health checks and auto-scaling, implement least-privilege IAM policies and KMS envelope encryption, establish automated Terraform IaC pipelines, and configure continuous monitoring with automated failover alarms.",caching in the cloud: in-memory datastores and cdns|multi-AZ deployment|least privilege IAM|Terraform IaC|automated failover,Cloud Computing,"Evaluates candidate's cloud architecture competence in caching in the cloud: in-memory datastores and cdns, focusing on resilient infrastructure design, security compliance, and operational reliability."
CC0007,"In cloud regions, availability zones, and global infrastructure, how would a cloud architect design an enterprise architecture addressing production challenge 56 for maximum fault tolerance?","To resolve challenge 56 in cloud regions, availability zones, and global infrastructure, deploy across multiple Availability Zones with automated health checks and auto-scaling, implement least-privilege IAM policies and KMS envelope encryption, establish automated Terraform IaC pipelines, and configure continuous monitoring with automated failover alarms.","cloud regions, availability zones, and global infrastructure|multi-AZ deployment|least privilege IAM|Terraform IaC|automated failover",Cloud Computing,"Evaluates candidate's cloud architecture competence in cloud regions, availability zones, and global infrastructure, focusing on resilient infrastructure design, security compliance, and operational reliability."
CC0008,"In cloud security: encryption, key management (kms), and secrets, how would a cloud architect design an enterprise architecture addressing production challenge 28 for maximum fault tolerance?","To resolve challenge 28 in cloud security: encryption, key management (kms), and secrets, deploy across multiple Availability Zones with automated health checks and auto-scaling, implement least-privilege IAM policies and KMS envelope encryption, establish automated Terraform IaC pipelines, and configure continuous monitoring with automated failover alarms.","cloud security: encryption, key management (kms), and secrets|multi-AZ deployment|least privilege IAM|Terraform IaC|automated failover",Cloud Computing,"Evaluates candidate's cloud architecture competence in cloud security: encryption, key management (kms), and secrets, focusing on resilient infrastructure design, security compliance, and operational reliability."
CC0009,"In compute: virtual machines, serverless, and auto-scaling, how would a cloud architect design an enterprise architecture addressing production challenge 38 for maximum fault tolerance?","To resolve challenge 38 in compute: virtual machines, serverless, and auto-scaling, deploy across multiple Availability Zones with automated health checks and auto-scaling, implement least-privilege IAM policies and KMS envelope encryption, establish automated Terraform IaC pipelines, and configure continuous monitoring with automated failover alarms.","compute: virtual machines, serverless, and auto-scaling|multi-AZ deployment|least privilege IAM|Terraform IaC|automated failover",Cloud Computing,"Evaluates candidate's cloud architecture competence in compute: virtual machines, serverless, and auto-scaling, focusing on resilient infrastructure design, security compliance, and operational reliability."
CC0010,"In caching in the cloud: in-memory datastores and cdns, how would a cloud architect design an enterprise architecture addressing production challenge 40 for maximum fault tolerance?","To resolve challenge 40 in caching in the cloud: in-memory datastores and cdns, deploy across multiple Availability Zones with automated health checks and auto-scaling, implement least-privilege IAM policies and KMS envelope encryption, establish automated Terraform IaC pipelines, and configure continuous monitoring with automated failover alarms.",caching in the cloud: in-memory datastores and cdns|multi-AZ deployment|least privilege IAM|Terraform IaC|automated failover,Cloud Computing,"Evaluates candidate's cloud architecture competence in caching in the cloud: in-memory datastores and cdns, focusing on resilient infrastructure design, security compliance, and operational reliability."
